sample_idx,canary_exact,stage4_exact,canary_prefix3,stage4_prefix3,canary_first1,stage4_first1,canary_last1,stage4_last1,canary_top1_eq,stage4_top1_eq,canary_rank,stage4_rank
147,0,1,0,1,0,1,1,1,0,0,21,12
148,0,0,0,0,0,0,1,1,0,0,21,21
149,0,0,0,0,0,0,1,1,0,0,21,21
150,0,0,0,0,0,1,1,1,0,0,21,21
151,0,0,0,0,0,1,1,1,0,0,21,21
152,0,0,0,0,0,1,1,1,0,0,21,21
153,0,0,0,0,0,1,1,1,0,0,21,21
154,0,0,0,0,0,1,1,1,0,0,21,21
155,0,0,0,0,0,0,1,1,0,0,21,21
156,0,0,0,0,0,0,1,1,0,0,21,21
157,0,0,0,0,0,1,1,1,0,0,21,21
158,0,0,0,0,0,0,1,1,0,0,21,21
159,0,0,0,0,0,0,1,1,0,0,21,21
160,0,0,0,0,0,0,1,1,0,0,21,21
161,0,0,0,0,0,1,1,1,0,0,21,21
162,0,0,0,0,0,0,1,1,0,0,21,21
163,0,0,0,0,0,0,1,1,0,0,21,21
164,0,0,0,0,0,1,1,1,0,0,21,21
165,0,0,0,0,0,1,1,1,0,0,21,21
166,0,0,0,0,0,0,1,1,0,0,21,21
167,0,0,0,0,0,0,1,1,0,0,21,21
168,0,0,0,0,0,0,1,1,0,0,21,21
169,0,0,0,0,0,1,1,1,0,0,21,21
170,0,0,0,0,0,1,1,1,0,0,21,21
171,0,1,0,1,0,1,1,1,0,0,21,7
172,0,0,0,0,0,1,1,1,0,0,21,21
173,0,0,0,0,0,0,1,1,0,0,21,21
174,0,0,0,0,0,0,1,1,0,0,21,21
175,0,0,0,0,0,1,1,1,0,0,21,21
176,0,0,0,0,0,0,1,1,0,0,21,21
177,0,0,0,0,0,0,1,1,0,0,21,21
178,0,0,0,0,0,1,1,1,0,0,21,21
179,0,0,0,0,0,0,1,1,0,0,21,21
180,0,0,0,0,0,1,1,1,0,0,21,21
181,0,0,0,0,0,1,1,1,0,0,21,21
182,0,0,0,0,0,1,1,1,0,0,21,21
183,0,0,0,0,0,1,1,1,0,0,21,21
184,0,0,0,0,0,1,1,1,0,0,21,21
185,0,0,0,0,0,1,1,1,0,0,21,21
186,0,1,0,1,0,1,1,1,0,0,21,2
187,0,0,0,0,0,1,1,1,0,0,21,21
188,0,0,0,0,0,0,1,1,0,0,21,21
189,0,0,0,0,0,1,1,1,0,0,21,21
190,0,0,0,0,0,0,1,1,0,0,21,21
191,0,0,0,0,0,0,1,1,0,0,21,21
192,0,0,0,0,0,0,1,1,0,0,21,21
193,0,0,0,0,0,0,1,1,0,0,21,21
194,0,1,0,1,0,1,1,1,0,1,21,1
195,0,0,0,0,0,0,1,1,0,0,21,21
196,0,0,0,0,0,0,1,1,0,0,21,21
197,0,1,0,1,0,1,1,1,0,0,21,14
198,0,0,0,0,0,1,1,1,0,0,21,21
199,0,0,0,0,0,1,1,1,0,0,21,21
200,0,0,0,0,0,0,1,1,0,0,21,21
201,0,0,0,0,0,0,1,1,0,0,21,21
202,0,0,0,0,0,1,1,1,0,0,21,21
203,0,0,0,0,0,0,1,1,0,0,21,21
204,0,0,0,0,0,0,1,1,0,0,21,21
205,0,0,0,0,0,0,1,1,0,0,21,21
206,0,0,0,0,0,1,1,1,0,0,21,21
207,0,0,0,0,0,0,1,1,0,0,21,21
208,0,0,0,0,0,1,1,1,0,0,21,21
209,0,0,0,0,0,1,1,1,0,0,21,21
210,0,0,0,0,0,1,1,1,0,0,21,21
211,0,0,0,0,0,0,1,1,0,0,21,21
212,0,0,0,0,0,1,1,1,0,0,21,21
213,0,0,0,0,0,0,1,1,0,0,21,21
214,0,0,0,0,0,1,1,1,0,0,21,21
215,0,0,0,0,1,0,1,1,0,0,21,21
216,0,1,0,1,0,1,1,1,0,1,21,1
217,0,1,0,1,0,1,1,1,0,1,21,1
218,0,0,0,0,0,1,1,1,0,0,21,21
219,0,0,0,0,0,1,1,1,0,0,21,21
220,0,0,0,0,0,0,1,1,0,0,21,21
